broker_company,broker_name,broker_phone_number,broker_photo_url,business_location,description,header,image_url,price
,,,,"Los Angeles County, CA",Southbay - Los Angeles's Coding / STEM Center for kids is for sale. This center has plenty of room to continue the growth and reach higher numbers. This center is a top performing location for the...,Profitable STEM / Coding Center for Kids - Step Into Profit from Day 1,https://images.bizbuysell.com/shared/listings/202/2029231/7a0581cd-39e3-457a-a742-0daaa7608ea7-W336.jpg,410000.0
,,,,"Dorris, CA","Located on Highway 97, we are the only gas station in Dorris, CA. Our station has been a part of this community since 1956. The station has enormous potential to offer services that currently do not...",Gas station/C-Store with tire shop and mechanic bays,"https://images.bizbuysell.com/shared/listings/200/2005567/4c4f51ac-9381-470f-bd0a-78f8dda0102e-W336.jpg,https://images.bizbuysell.com/shared/listings/200/2005567/2b6fe49a-a292-4891-a199-ab3cfb8ad979-W336.jpg,https://images.bizbuysell.com/shared/listings/200/2005567/fef43faf-8ed9-4efe-b72b-f2bf52c8b5c8-W336.jpg,https://images.bizbuysell.com/shared/listings/200/2005567/f98a8c58-269f-410c-bf9c-d0786dca9c3b-W336.jpg,https://images.bizbuysell.com/shared/listings/200/2005567/610b3cdf-368e-4aac-933c-0cbe2f497ab6-W336.jpg,https://images.bizbuysell.com/shared/listings/200/2005567/000b5bc2-0f63-4818-ba8e-29c049ef0074-W336.jpg",400000.0
,,,,"Orange County, CA",Are you ready to step into the world of fitness entrepreneurship? This is your opportunity to own a successful and established Kickboxing Studio without the hassle of dealing with high franchise fees...,Turnkey Franchise Kickboxing Studio for Sale In an Upscale Community,"https://images.bizbuysell.com/shared/listings/221/2215724/f3548176-8612-4b38-bc6f-11e404c814d7-W336.png,https://images.bizbuysell.com/shared/listings/221/2215724/4856e29b-0d0a-4acd-b779-3012925fb615-W336.jpg",340000.0
,,,,"Big Bear, CA","HIGHLAND CABINET & DOORS. After nearly 40 years of manufacturing the finest custom cabinets & doors throughout the land, the Hoogendyk family have finally decided to retire, making this business...",Well Establisted Cabinet & Door Business in Big Bear,"https://images.bizbuysell.com/shared/listings/221/2215608/2f48c233-6d38-46c2-bdaf-4d79a3e9bde0-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215608/2eb9fb39-9e18-4adf-9f83-b488daff373a-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215608/95da105b-0523-477a-942c-40e1c4cc1d94-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215608/ff47d7b5-64b4-406a-ac7c-e008d4db6783-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215608/c8564511-69eb-4047-bdae-318520e0551d-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215608/a8bee64f-a158-4326-b271-cd24c454d39a-W336.jpg",375000.0
,,,,"Woodland, CA","Spherion Woodland is a well-established, well-known staffing and recruiting business in growing Woodland, California. The current owner has successfully grown Spherion in Woodland since 1998 and is...","Own a Thriving Staffing Business in Woodland, California!","https://images.bizbuysell.com/shared/listings/221/2215563/72e81efe-a5a6-4c7d-a879-5e3d049ede1c-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215563/d426ab08-42f0-4db5-991b-fba08278ec86-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215563/e5618240-f8d8-444b-b2b1-225f2d7d50c4-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215563/f5bc151b-a32a-42b6-aae5-96e6a0d72617-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215563/d8fd6084-23df-4c8a-948e-f5be92f51bed-W336.jpg",1300000.0
,,,,,,,,
,,,,"Orange County, CA","Thriving Business in Savi Ranch. Close to 91 freeway. Adjacent to many Anchor Tenants with parking for 350 + cars. 7,700 + square feet.Seller will sell With or without Liquor License.Ask for...","Banquet Hall and Restaurant, Ample Parking.","https://images.bizbuysell.com/shared/listings/221/2215489/70db0dd8-6eb4-42df-81dd-5213a27d4fd7-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215489/ab90698c-a319-4106-aeec-46b57ad9baa7-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215489/5fe220e5-de02-4978-9714-4a7a2cdaabfb-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215489/fdf543dd-828b-4149-bb6f-46d1d33f09a5-W336.jpg",399000.0
,,,,"Larkspur, CA",Great opportunity to acquire a fully licensed delivery business in Marin County (Pop 260k+)! The owner has secured a leased and has local and state approvals in hand for a cannabis Non-Storefront...,"Fully Licensed Cannabis Delivery Business For Sale (Marin County, CA)",https://images.bizbuysell.com/shared/listings/221/2215420/0655daed-f2d1-4494-855a-e5d779d6d07b-W336.png,199000.0
,,,,"Glendora, CA","Established auto repair shop in Glendora with massive client list. Located on a busy corner, next to a body shop and car wash. Great customers and great community. Busy area with apartment buildings,...",Established Auto Repair Shop,https://images.bizbuysell.com/shared/listings/221/2215367/e5f18aba-b090-49e7-a291-e2f24e2087f4-W336.jpg,75000.0
,,,,"Huntington Beach, CA","Comfort Design Mats, Inc. started in 2017. We offer cushy foam playmats designed to look like area rugs, but are easier to clean and pet-friendly. Our mats are quality made from TPU foam, non-toxic,...",5-star Rated Product on Amazon in the Children's Category - Playmats,"https://images.bizbuysell.com/shared/listings/221/2215240/7547a725-ac95-45d9-a11c-69fe47a584b3-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215240/e8f87293-cfc6-4e15-8a96-9ebaaefa7b64-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215240/b2c889b0-f91c-4b2c-832d-b9c55cc0bee8-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215240/b40a47a6-5652-4746-93df-3edb8f798661-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215240/281704df-8a7c-40b0-8923-fe8bcfc38e07-W336.jpg",1000000.0
